test-0.0001-a,test-0.0001-a,test-0.0001-a
Test time,Strain,Stress
s,%,MPa
81.47,0.040070792,161.719377
81.97,0.041055942,162.320758
82.47,0.04017833,162.9046144
82.97,0.0410367,163.4869996
83.47,0.040685017,164.0552845
83.97,0.040501811,164.6791375
84.47,0.041283266,165.2731363
84.97,0.041170502,165.8965206
85.47,0.04117449,166.4864182
85.97,0.04230306,167.0629184
86.47,0.042458243,167.6259954
86.97,0.042162618,168.228431
87.47,0.042912104,168.7814567
87.97,0.041082596,169.3639591
88.47,0.041399278,169.8830554
88.97,0.041714177,170.4717942
89.47,0.042246566,171.0502995
89.97,0.041529301,171.7056473
90.47,0.04181733,172.3024974
90.97,0.041615235,172.8176878
91.47,0.041081548,173.3599592
91.97,0.042451201,173.8743554
92.47,0.041966118,174.4793689
92.97,0.041087164,175.0645013
93.47,0.041679466,175.6897995
93.97,0.041118617,176.296154
94.47,0.041723655,176.8636056
94.97,0.041878763,177.4207065
95.47,0.04105435,178.0039119
95.97,0.042057145,178.5939787
96.47,0.042378654,179.1654925
96.97,0.042049047,179.7064489
97.47,0.042505523,180.2542147
97.97,0.042740551,180.8996544
98.47,0.042958167,181.5799739
98.97,0.044568477,182.1410979
99.47,0.044717091,182.6768465
99.942775,0.042720134,183.2048353
100.449775,0.043902334,183.7768958
100.674775,0.041897391,184.0734981
101.18,0.043118762,184.6645805
101.68,0.043723413,185.2750102
102.18,0.044596292,185.9011286
102.68,0.044595348,186.5300854
103.18,0.043944845,187.1134861
103.68,0.044618841,187.7282383
104.18,0.045440859,188.3879737
104.68,0.0442917,189.0341555
105.18,0.045171818,189.6319301
105.68,0.045187396,190.2266059
106.18,0.045382754,190.9076806
106.68,0.045022048,191.6291685
107.18,0.046820563,192.3406182
107.68,0.047295179,192.9978538
108.18,0.046164072,193.6444653
108.68,0.046854166,194.2627979
109.18,0.04666031,194.9350322
109.552775,0.044647199,195.4704813
110.06,0.045128094,196.1972422
110.56,0.046399673,196.9324529
111.06,0.047308674,197.6626901
111.56,0.046770951,198.3688538
111.69,0.044676216,198.5531479
112.02,0.046781942,199.0477151
112.14,0.048819279,199.2230127
112.64,0.047264775,199.9951863
113.14,0.048503651,200.7238611
113.64,0.048398252,201.4665582
113.939775,0.046392539,201.8708206
114.144775,0.048427436,202.1708601
114.65,0.049389531,202.9609359
115.15,0.048452964,203.8057466
115.65,0.048873065,204.5993247
116.048775,0.050887687,205.1913966
116.36,0.048866422,205.6547425
116.86,0.048180315,206.3826882
117.232775,0.050186757,206.9171868
117.739775,0.050040978,207.7289665
118.24,0.048743849,208.5081448
118.628775,0.050757887,209.140018
119.13,0.050836605,209.9780975
119.63,0.050761774,210.8191065
120.13,0.050058587,211.5960714
120.288775,0.048059997,211.8324054
120.396775,0.045959199,212.0179104
120.53,0.04797401,212.254609
120.61,0.050010711,212.3931779
120.796775,0.052045925,212.7067969
121.07,0.054052326,213.1752986
121.42,0.051965027,213.7642067
121.92,0.052232534,214.5766244
122.42,0.051532472,215.3498917
122.92,0.050661043,216.1716054
123.218775,0.052700924,216.6976543
123.72,0.052437582,217.6185523
124.22,0.052615019,218.502943
124.72,0.053460426,219.3127436
125.22,0.052410128,220.1487921
125.72,0.052984489,220.9431774
126.22,0.054243994,221.8071141
126.72,0.054282046,222.6486309
127.22,0.053882466,223.5255352
127.72,0.054699075,224.4224899
128.22,0.054844962,225.3052271
128.72,0.054318465,226.1516913
129.22,0.055308412,227.0706754
129.72,0.055492124,227.9711194
130.22,0.056154503,228.8189116
130.72,0.056622949,229.6857127
131.22,0.056901355,230.5581382
131.675775,0.054901571,231.4166587
132.01,0.056919421,232.0862109
132.51,0.058301685,233.0762827
133.01,0.059621414,233.9913088
133.51,0.059826715,234.9053193
133.784775,0.057803148,235.3968659
134.29,0.058582286,236.3115275
134.79,0.057766074,237.2702477
135.29,0.058997983,238.2512838
135.79,0.059804356,239.2420066
136.29,0.060782966,240.2328335
136.79,0.059688527,241.2197545
137.29,0.059806238,242.1780581
137.72,0.061927844,243.0593371
138.22,0.060733082,244.0677146
138.618775,0.062893394,244.8614749
139.12,0.062739625,245.8239189
139.14,0.062515853,245.8632384
139.64,0.063577358,246.8273228
140.14,0.06383175,247.908116
140.64,0.06297629,249.015834
141.14,0.065284121,250.1078762
141.64,0.066455014,251.0844856
142.14,0.062556553,252.1226262
142.64,0.063824192,253.1529289
143.14,0.065533046,254.2245301
143.64,0.067699086,255.2742583
144.14,0.066736954,256.3500519
144.64,0.067137676,257.4671961
145.14,0.064376913,258.5522338
145.357775,0.068430951,259.0223499
145.86,0.068181164,260.0858268
146.36,0.068862658,261.2126317
146.86,0.066641843,262.3126941
147.36,0.068951207,263.3814571
147.86,0.068533851,264.4210559
148.36,0.064881934,265.5431736
148.59,0.068940249,266.0965118
148.719775,0.072956057,266.4005224
149.22,0.070522011,267.6054716
149.72,0.073006681,268.7459212
150.047775,0.068888256,269.4777858
150.55,0.070463851,270.6010233
151.05,0.071699628,271.709861
151.55,0.071485385,272.8702567
152.05,0.07351121,274.0227886
152.55,0.072248458,275.1962822
153.05,0.073177806,276.3655054
153.55,0.071723642,277.5419414
154.05,0.074884718,278.6746833
154.55,0.075123391,279.8906212
155.05,0.074757135,281.0744264
155.55,0.075378765,282.2582317
155.672775,0.071332531,282.5410461
156.18,0.073198814,283.7188622
